"id","code","name","level"
"804","I010704","Meja Foosball","4"
"805","I010705","Kursi Video Game","4"
"806","I0108","Furnitur Replika","3"
"808","I0201","Perangkat Pemanggang","3"
"809","I020101","Nampan & Pinggan Pemanggang","4"
"810","I020102","Mangkuk Pemanggang & Kaserol","4"
"811","I020103","Pemotong & Cetakan Kue","4"
"812","I020104","Alat Pemanggang & Aksesoris","4"
"813","I020105","Set Alat Panggangan","4"
"814","I020106","Wadah Mixer","4"
"815","I020107","Penggiling","4"
"816","I020108","Alat Kue","4"
"817","I020109","Alat Masak Bahan Silikon","4"
"818","I0202","Peralatan Masak","3"
"819","I020201","Panci dan Wajan","4"
"820","I020202","Kuali & Wajan Tumis","4"
"821","I020203","Panci dan Wajan Khusus","4"
"822","I020204","Panci Presto & Steamer","4"
"823","I020205","Set Peralatan Masak","4"
"824","I020206","Pemanggang & Oven","4"
"825","I020207","Aksesoris Peralatan Masak","4"
"826","I020208","Perangkat Masak Khusus","4"
"827","I020209","Panci Kaldu","4"
"828","I020210","Piring Kaserol","4"
"829","I0203","Peralatan Meja","3"
"830","I020301","Sendok, Garpu, Pisau & Sumpit","4"
"831","I020302","Perangkat Makan","4"
"832","I020303","Set Perangkat Makan","4"
"833","I020304","Perangkat Minum & Gelas","4"
"834","I020305","Perangkat Penyaji","4"
"835","I020306","Peralatan Bar","4"
"836","I020307","Peralatan Makan Sekali Pakai","4"
"837","I0204","Pisau Dapur","3"
"838","I020401","Pisau Tulang & Fillet","4"
"839","I020402","Pisau Roti & Bergerigi","4"
"840","I020403","Pisau Kue","4"
"841","I020404","Pisau & Garpu Daging","4"
"842","I020405","Pisau Koki","4"
"843","I020406","Pisau Golok","4"
"844","I020407","Tempat Penyimpan Pisau","4"
"845","I020408","Pengasah Pisau","4"
"846","I020409","Pisau Kupas","4"
"847","I020410","Pisau Khusus","4"
"848","I020411","Pisau Steak","4"
"849","I020412","Pisau Utilitas","4"
"850","I020413","Pisau Asia","4"
"851","I020414","Set Pisau","4"
"852","I0205","Alas Meja & Aksesoris Dapur","3"
"853","I020501","Taplak Meja","4"
"854","I020502","Taplak Meja Panjang","4"
"855","I020503","Serbet Kain","4"
"856","I020504","Napkin Ring","4"
"857","I020505","Alas Piring & Gelas","4"
"858","I020506","Kain & Lap Piring","4"
"859","I020507","Tutup Teko","4"
"860","I020508","Sarung Tangan Teko & Oven","4"
"861","I020509","Celemek","4"
"862","I020510","Aksesoris","4"
"863","I0206","Penyimpanan Dapur","3"
"864","I020601","Tempat Sampah & Lemari","4"
"865","I020602","Kotak Roti & Keranjang","4"
"866","I020603","Kotak Penyimpanan Hiasan","4"
"867","I020604","Rak Piring & Aksesoris Wastafel","4"
"868","I020605","Penyimpanan Makanan","4"
"869","I020606","Penyimpanan Makanan","4"
"870","I020607","Botol & Kaleng Dapur","4"
"871","I020608","Tas & Kotak Makan Siang","4"
"872","I020609","Tempat Tissue & Serbet","4"
"873","I020610","Tempat Handuk","4"
"874","I020611","Ruang Penyimpanan","4"
"875","I020612","Wadah & Rak Penyimpanan Bumbu","4"
"876","I020613","Tempat Sendok","4"
"877","I020614","Rak Roti","4"
"878","I020615","Alat Pemotong & Laci","4"
"879","I020616","Alas Pelindung Alat Makan","4"
"880","I020617","Keranjang Penyimpanan","4"
"881","I0207","Peralatan & Aksesoris Dapur","3"
"882","I020701","Peralatan Barbekyu & Aksesoris","4"
"883","I020702","Peralatan Dapur","4"
"884","I02070201","Pembuka Kaleng","5"
"885","I02070202","Penyimpanan Alat","5"
"886","I02070203","Parutan, Pengupas & Pemotong","5"
"887","I02070204","Pencampur Salad","5"
"888","I02070205","Peralatan Daging & Unggas","5"
"889","I02070206","Pembuat Pasta","5"
"890","I02070207","Peralatan Pizza","5"
"891","I02070208","Scoop Es Krim","5"
"892","I02070209","Peralatan Dapur Khusus","5"
"893","I020703","Aksesoris Dapur","4"
"894","I02070301","Botol Minum","5"
"895","I02070302","Wadah Penyaring & Penyaring Makanan","5"
"896","I02070303","Timbangan Dapur","5"
"897","I02070304","Tempat & Penggiling Garam & Lada","5"
"898","I02070305","Tutup Panci, Sarung & Isian","5"
"899","I02070306","Mangkuk Pencampur & Persiapan","5"
"900","I02070307","Cangkir & Sendok Pengukur","5"
"901","I02070308","Penyemprot & Dispenser Minyak","5"
"902","I02070309","Termos Air","5"
"903","I02070310","Talenan","5"
"904","I02070311","Meja Putar","5"
"905","I02070312","Meja Dispenser","5"
"907","I0301","Sprei","3"
